FarmID,State,Crop,Season,SoilType,FarmingMethod,IrrigationType,FertilizerUsed,PesticideUsed,ImprovedSeed,FarmSize(Hectares),Rainfall(mm),Temperature(°C),Humidity(%),SoilPH,Fertilizer(kg/ha),Pesticide(L/ha),FarmExperience(Years),NumWorkers,DistanceToMarket(km),CreditAccess,ExtensionServices,PreviousYield(tons/ha),PlantingDensity(plants/ha),ActualYield(tons/ha),YieldCategory
FRM009796,Bauchi,Cowpea,Wet Season,Sandy,Rain-fed,None,yes,Yes,Yes,0.83 ha,-844.3,27.1,63.3,7.7,97.6,2.85,17,1,16.3miles,1,1,4.86,57379.0,3.66,M
FRM009797,Kaduna,Groundnut,Wet Season,Silt,IRRIGATION,None,Yes,yes,Yes,11.83,507.9,34.1,89.9,7.92,99.0,4.79,10,2,17.7,0,1,2.31,70581.0,3.21,MEDIUM
FRM009798,Yobe,Sorghum,Dry Season,CLAY,rain-fed,Flood,FALSE,yes,Yes,5.82,582.0,25.0,57.7,6.74,37.7,4.29,17,2,36.3,1,0,2.06,63402.0,3.17,Average
FRM009799,Gombe,Cassava,wet,Sandy,Irrigation,Sprinkler,Yes,No,No,13.71,461.2,27.8,78.6,5.86,107.3,3.45,9,2,1.0,0,0,0.28,46416.0,2.22,Poor
FRM009800,Taraba,Rice,WET,Clay,Mixed,None,Yes,1,No,2.06 ha,667.0,32.3,47.0,6.83,68.1,4.71,11,4,1.0,1,0,3.34,45994.0,2.97,MODERATE
FRM009801,Gombe,Soybean,WET,Clay,Rain-fed,Sprinkler,No,Yes,Yes,0.67 ha,1020.8,28.2,61.7,5.4,34.1,3.82,15,5,19.0,1,0,1.77,76367.0,1.51 tons,Poor
FRM009802,Sokoto,Soybean,Dry Season,Silt,Rain-fed,Drip,No,no,Yes,0.11,948.0,26.5,65.3,7.0,60.3,1.81,18,1,22.2km,1,0,4.05,55927.0,3.66,M
FRM009803,Zamfara,Millet,wet season,Sandy,Irrigation,None,Yes,Yes,Yes,0.8,845.9,31.6,41.4,6.99,106.2,4.38,0,2,8.4,1,1,1.45,63644.0,5.76,High
FRM009804,Kaduna,Millet,Dry Season,Clay,Mixed,Sprinkler,No,Yes,Yes,9.83,1034.1,23.0,28.8,6.02,58.1,4.51,9,2,26.5,1,0,1.29,66552.0,3.4,MEDIUM
FRM009805,Taraba,Groundnut,wet season,Clay,Rain-fed,None,Yes,Yes,Yes,0.81,533.9,22.8,61.3,5.89,84.6,2.08,12,3,21.9,1,1,3.99,60726.0,2.58,Average
FRM009806,Kano,Sorghum,DRY,Silty,Mixed,Drip,Yes,Yes,no,7.32,1010.5,27.2,44.2,6.48,79.2,5.28,7,5,,0,0,3.38,70303.0,3.41,Average
FRM009807,Kebbi,Cassava,dry season,Silt,Irrigation,Sprinkler,Yes,Yes,Yes,1.34,603.2,29.2,60.3,6.98,99.3,0.31,3,5,30.5,0,1,2.85,80329.0,2.83,MODERATE
FRM009808,Taraba,Cassava,Dry Season,Loamy,Irrigation,None,Yes,No,Yes,8.01,957.0,30.3,52.1 percent,6.81,70.0,2.52,23,2,12.3,1,1,2.54,67723.0,5.89,H
FRM009809,Kano,Rice,Rainy,Loamy,Rain-fed,sprinkler,Yes,Yes,No,0.1,1048.4,28.1,66.4,6.79,121.1,2.59,5,4,2.6,0,0,1.55,61690.0,2.0,MODERATE
FRM009810,Adamawa,Wheat,Dry Season,clay,MIXED,Sprinkler,Yes,Yes,No,3.66,696.0,36.3,60.0,5.89,144.0 kg/ha,5.97,14,8,10.3,0,1,3.13,49260.0,1.98,low
FRM009811,Adamawa,Millet,wet season,Sandy,irrigation,Drip,Yes,no,Yes,4.37,830.8,28.4,44.3,5.47,72.3,5.06,15,1,8.2,1,0,1.41,50150.0,3.65,Moderate
FRM009812,Benue,Wheat,dry,Clay,Mixed,Flood,no,Yes,Yes,0.64,6778.0,31.5,54.0,6.28,137.1,5.66,26,6,15.0,1,0,1.16,73222.0,2.08,L
FRM009813,Katsina,Wheat,dry,Clay,Rain-fed,Drip,No,no,No,1.01,694.9,27.9,43.6,5.18,73.1,1.79,15,3,20.7,0,1,2.57,43551.0,0.81,VERY POOR
FRM009814,Jigawa,Rice,Wet Season,Clay,Irrigation,Drip,Yes,Yes,Yes,5.06,1171.7,31.3,74.1,6.45,133.6,3.41,13,8,19.5 km,1,0,2.31,68189.0,5.51,High
FRM009815,Taraba,Wheat,wet season,Loamy,Mixed,None,Yes,Yes,Yes,4.55,1116.6,27.0,90.7,5.45,97.9,2.81,7,1,6.0,1,0,3.34,51010.0,3.49,Average
FRM009816,Niger,Wheat,Dry Season,Sandy,Irrigation,None,Yes,1,yes,0.26,836.0,24.9,68.2,6.5,23.4,5.24,8,3,1.0,0,0,0.79,53242.0,3.1,M
FRM009817,Kebbi,Rice,Dry Season,Silt,Rain-fed,flood,Yes,Yes,Yes,3.31,718.3,29.2°C,54.2,6.97,58.2,4.26,15,1,1.3,0,0,1.83,44914.0,4.25,MEDIUM
FRM009818,Taraba,Yam,dry season,Sandy,Rain-fed,None,1,Yes,Yes,0.8,854.2,25.6,64.3,7.71,79.3,2.51,9,3,14.1,0,0,1.48,38894.0,3.11,medium
FRM009819,Kano,Wheat,Dry Season,Sandy,Irrigation,Sprinkler,Yes,Yes,No,1.82,432.8,32.5,63.3,5.74,60.3,2.46,8,3,1.0,0,1,1.69 t/ha,39227.0,1.32,Below Average
FRM009820,Jigawa,Millet,DRY,Sandy,Mixed,None,Yes,No,Yes,5.2,832.5,29.4,80.2,6.95,35.4,0.48,9,3,10.4,1,0,1.12,57748.0,3.75,AVERAGE
FRM009821,Niger,Rice,Wet Season,Loamy,Irrigated,None,No,yes,no,1.85,811.2,25.5,63.5,6.81,59.0 kg/ha,1.91,11,1,14.5,1,1,2.92,20757.0,3.77,MEDIUM
FRM009822,Kebbi,Cowpea,wet,Loamy,Irrigation,None,yes,Yes,no,1.85,817.9,26.6,66.2,5.61,56.9kg,2.84,10,6,10.7,1,1,5.6,55120.0,4.58,High
FRM009823,Niger,Wheat,dry season,Clay,irrigation,Flood,no,Yes,Yes,2.89,1178.5,25.7,78.2,5.71,54.3,2.64,0,4,15.9,0,0,3.05,34753.0,3.03,AVERAGE
FRM009824,Sokoto,Yam,WET,clay,Rain-fed,Drip,yes,Yes,yes,6.99,1034.2,24.8,76.7,6.96,31.9,4.09,10,1,32.0,1,1,0.2,54432.0,2.81,Average
FRM009825,Kano,Millet,dry season,Clay,Irrigation,flood,Yes,Yes,Yes,1.22,1211.5,21.0,66.0,-5.13,113.5,5.36,7,5,15.0,1,0,4.59,60318.0,6.8,high
FRM009826,Adamawa,Maize,dry,Clay,Mixed,Drip,No,Yes,Yes,0.85,847.9mm,22.4,88.7,5.3,98.2,2.9,3,1,24.2,0,0,3.93,30281.0,1.74,Low
FRM009827,Plateau,Millet,dry,Loamy,Irrigated,Flood,yes,No,Yes,5.55,1319.8,20.0,26.8,5.88,58.4,2.94,5,3,19.4,1,1,2.13,68877.0,5.04,EXCELLENT
FRM009828,Sokoto,Sorghum,dry season,C,Rainfed,Sprinkler,yes,No,Yes,0.62,1073.1,30.3,84.6,6.81,92.2,4.86,7,5,14.1,0,0,3.74,76814.0,3.31,Moderate
FRM009829,Kebbi,Cowpea,WET,Silt,Mixed,Sprinkler,Yes,No,No,2.45,595.9 mm,26.1,75.1,7.33,74.8,0.69,8,5,24.6,1,1,1.55,47903.0,2.15,low
FRM009830,Kebbi,Soybean,dry season,Silt,Rain-fed,None,No,Yes,0,1.66,766.7,32.8,45.0,7.34,76.1,6.3,12,6,17.6,0,0,1.21,61466.0,1.03,Minimal
FRM009831,Kaduna,Cassava,Dry Season,Clay,Irrigation,Drip,1,Yes,Yes,0.6,759.4,28.8,75.5 percent,7.29,,4.5,12,3,16.4,0,1,3.33,57414.0,2.81,MODERATE
FRM009832,Kano,Sorghum,Wet Season,Loamy,Rain-fed,Drip,No,No,yes,1.26,200.0,34.8,67.0,4.74,35.7,2.75,6,1,30.6,1,1,3.79,67921.0,2.13,Below Average
FRM009833,Benue,Rice,Dry Season,Loamy,Mixed,None,Yes,no,No,0.97,808.9,28.8,72.3,6.15,109.8,2.5,10,3,51.2,1,1,2.24,50833.0,3.61,Moderate
FRM009834,Benue,Rice,WET,loamy,Irrigation,None,Yes,No,Yes,6.48,731.3,28.2,69.5,5.35,0.0,0.0,11,3,20.2,1,1,2.15,52057.0,2.36,M
FRM009835,Kebbi,Cassava,Wet Season,Loamy,Rain-fed,Drip,Yes,Yes,No,1.65,648.3,30.6,48.1,6.78,59.0,2.58,12,1,20.4,0,0,3.58,10860.0,3.67,MEDIUM
FRM009836,Jigawa,Groundnut,wet season,clay,Rain-fed,Sprinkler,Yes,Yes,Yes,3.31,750.9,32.8,57.0,5.94,79.9kg,3.93,18,3,19.0,0,0,2.74,65422.0,2.34,MODERATE
FRM009837,Yobe,Groundnut,Dry Season,Sandy,irrigation,Drip,No,Yes,Yes,1.92,769.6,21.0,38.6,5.91,116.5,3.51,13,3,16.9,1,0,3.41,65964.0,3.76,M
FRM009838,Yobe,Cassava,wet season,Silt,Rain-fed,sprinkler,Yes,Yes,Yes,1.11,735.4,29.2,35.7,4.63,121.9,4.74,15,2,14.2,1,0,2.62,76382.0,3.36,Average
FRM009839,Yobe,Rice,Harmattan,Clay,Irrigation,sprinkler,Yes,no,No,1.57,968.7,27.6,71.6,5.09,29.9,5.0,16,2,6.6,0,1,2.78,30718.0,3.93,Moderate
FRM009840,Yobe,Millet,Wet Season,LOAMY,Rain-fed,Sprinkler,Yes,Yes,Yes,2.23,717.6,35.2,60.4,6.26,54.0,4.31,9,3,22.1,1,1,1.93,33744.0,3.57,medium
FRM009841,Benue,Cowpea,Rainy,Loamy,Irrigation,None,Yes,No,yes,12.48 acres,453.7,22.8°C,84.6,5.43,42.9,4.33,9,1,18.1,0,1,3.13,37775.0,2.72,M
FRM009842,Katsina,Yam,WET,Sandy,Irrigation,None,No,Yes,No,-2.5,778.1,30.5,82.1,4.99,100.2,2.14,4,4,13.3km km,1,1,3.21,84332.0,1.35,low
FRM009843,Adamawa,Soybean,Wet Season,Loamy,Rain-fed,none,No,Yes,No,1.75,845.4,26.2,73.2,5.75,97.6,8.35,11,1,20.0,0,0,2.53,51269.0,1.83,low
FRM009844,Kaduna,Cowpea,DRY,Clay,Irrigation,Drip,no,1,No,0.1,1046.8,23.4,54.9,6.96,68.4,6.37,16,4,13.9,1,1,3.67,62285.0,3.29,Moderate
FRM009845,Kebbi,Cassava,wet season,C,MIXED,None,No,no,No,1.02,1033.0,26.9,46.5,6.01,43.8,1.14,6,3,1.0,0,0,2.21,73316.0,0.58,VERY LOW
FRM009846,Benue,Rice,wet season,Loamy,Mixed,Sprinkler,Yes,Yes,no,2.7,908.3,24.4,84.4,5.02,110.1,6.47,18,3,27.0,0,1,1.34,61896.0,3.31,Medium
FRM009847,Kano,Groundnut,wet season,Sandy,Mixed,N/A,No,Yes,Yes,0.57,284.0,21.1,78.9%,6.02,0.0,5.66,6,3,2.4,0,0,3.71,56072.0,1.74,Poor
FRM009848,Gombe,Rice,wet,Sandy,Mixed,None,no,No,No,5.37,694.0,37.6,62.5,4.46,118.0,5.35,14,2,20.7,1,0,3.54,45839.0,0.78,Very Poor
FRM009849,Taraba,Groundnut,wet,LOAMY,Mixed,None,Yes,yes,Yes,4.97,904.2,26.6,49.1,5.48,47.2,1.79,8,7,23.8km,1,1,3.45,65773.0,5.26,Excellent
FRM009850,Plateau,Cowpea,wet,Loamy,Irrigation,Sprinkler,No,Yes,No,2.92,675.6,26.9,71.3 percent,6.75,68.6,5.77,27,6,1.0,1,1,1.58,64605.0,4.33,Medium
FRM009851,Yobe,Sorghum,Harmattan,Sandy,Rain-fed,Flood,yes,1,Yes,3.48,559.9,25.8,59.4,4.18,146.0,5.44,5,3,-12.5,0,1,3.56,87285.0,2.25,AVERAGE
FRM009852,Bauchi,Millet,Wet Season,S,Rain-fed,Drip,Yes,Yes,yes,3.65,915.6,30.2,67.8,6.01,97.4,3.18,19,3,14.9,0,0,2.83,57286.0,3.03,Medium
FRM009853,Yobe,Cowpea,Dry Season,Silt,Rain-fed,Drip,Yes,Yes,Yes,1.21,1297.9,22.6°C,80.7,5.53,56.2,2.85,0,5,40.5,1,1,4.7,50395.0,5.99,EXCELLENT
FRM009854,Adamawa,Millet,Harmattan,loamy,Rain-fed,Sprinkler,Yes,Y,yes,3.62 ha,890.2,26.9,57.9,6.01,73.0,4.95,15,5,26.3,1,0,4.06 tons,32477.0,4.7,Excellent
FRM009855,Sokoto,Wheat,Rainy,Silt,Rain-fed,sprinkler,Yes,1,Yes,0.1,1343.5,28.4,75.0,7.51,74.2,4.62,16,1,30.2,1,0,2.91,66237.0,2.23,Medium
FRM009856,Jigawa,Cowpea,wet season,Sandy,Mixed,Flood,Yes,yes,no,8.41,880.5,32.2,59.7,5.55 pH,52.0,6.28,12,2,5.8,0,1,1.66,61219.0,2.86,AVERAGE
FRM009857,Gombe,Maize,Rainy,Clay,Irrigation,Flood,no,no,N,2.67,774.6,32.3,72.7,5.62,79.4,2.43,18,4,10.0,1,1,2.34,66872.0,2.58,L
FRM009858,Jigawa,Maize,Wet Season,Loamy,Rain-fed,Drip,Yes,No,Y,1.53 acres,547.9,34.7,81.1,6.27,54.4,4.07,13,4,23.5,0,0,4.38,75893.0,3.69,Average
FRM009859,Sokoto,Millet,dry season,Clay,Irrigated,Sprinkler,no,Yes,Yes,0.54,333.1,24.9,51.6,6.94,44.2,6.75,19,8,20.4 km,1,0,2.84,59287.0,2.0,medium
FRM009860,Katsina,Wheat,wet season,Loamy,Rain-fed,None,Yes,Yes,0,9.91,861.6,28.6,75.6,6.62,57.9,4.05,20,3,1.0,1,1,3.06,35133.0,4.91,High
FRM009861,Niger,Millet,dry season,Loamy,Mixed,Flood,Yes,Yes,yes,2.23,955.3 mm,25.3,60.9,7.38,71.8,0.03,14,3,7.4,1,0,2.66,55404.0,2.86,MODERATE
FRM009862,Kano,Cassava,DRY,Loamy,Rain-fed,Drip,Yes,No,Yes,0.23,,31.4,73.1%,,49.4,2.78,0,5,1.0,0,1,3.19,43811.0,3.71,Average
FRM009863,Niger,Maize,wet,Clay,Rain-fed,Flood,No,Yes,Yes,1.56 ha,851.9,25.7,59.7,6.14,128.0,0.0,12,4,15.1,0,1,3.39,33002.0,2.61,MODERATE
FRM009864,Kaduna,Rice,Dry Season,Silt,Irrigation,flood,Yes,Yes,Yes,1.02,1041.5,30.6 degrees,77.8,6.13,68.9,4.61,5,1,41.0,1,1,4.28,71520.0,5.52,H
FRM009865,Plateau,Millet,Rainy,Loamy,irrigation,Flood,yes,No,Yes,0.2,917.6,26.9,61.3,8.63,58.1,0.0,15,3,15.4,1,0,4.26,67988.0,5.03,Excellent
FRM009866,Kaduna,Millet,dry season,Silt,Rain-fed,Sprinkler,no,Yes,no,1.24 ha,482.3mm,22.6,77.1,6.12,51.9,0.54,14,4,14.8 km,1,1,3.38,84173.0,2.28,Low
FRM009867,Kebbi,Soybean,WET,loamy,Rain-fed,Sprinkler,Yes,Yes,Yes,1.59,846.8,25.6,56.9,5.54,48.4,3.44,17,6,1.0,0,0,3.22,66212.0,3.47 tons,M
FRM009868,Gombe,Yam,Dry Season,Sandy,Irrigated,None,N,Yes,No,4.24,963.6,34.0,62.5,6.97,121.8,4.63,11,4,28.9,0,1,1.92,30452.0,3.03,Average
FRM009869,Kano,Yam,wet,Clay,Irrigation,Flood,Yes,No,Yes,0.52,434.3,29.0,56.9,7.32,120.0,2.53,16,5,6.5,1,0,5.51,41435.0,3.04,Moderate
FRM009870,Gombe,Groundnut,wet season,Clay,Rain-fed,None,Yes,No,no,2.17,706.5,26.1,51.3,4.28,62.2,5.52,10,7,27.1,0,1,3.83 tons,76355.0,2.7,low
FRM009871,Kebbi,Wheat,Wet Season,Clay,Mixed,None,Yes,no,Yes,2.83,583.9,35.5,61.5,6.56,92.4,2.94,16,5,1.0,1,0,3.31,44200.0,2.95,AVERAGE
FRM009872,Zamfara,Maize,WET,Loamy,Mixed,None,No,Yes,Yes,8.76,1024.8,20.0,56.1,6.53,137.2,5.38,4,6,6.2,1,1,3.13,52684.0,2.73,Moderate
FRM009873,Benue,Maize,Wet Season,Sandy,Irrigation,Flood,no,No,Yes,3.3,746.1,23.7,72.5,7.53,105.5,6.58,16,5,13.9,0,1,3.61,65234.0,3.98,M
FRM009874,Sokoto,Yam,Dry Season,Sandy,Mixed,sprinkler,Yes,1,No,2.03,1216.6mm,33.2,62.0,6.03,106.6,3.26,5,3,9.5,1,1,3.73,68434.0,4.0,MEDIUM
FRM009875,Yobe,Millet,Wet Season,Loamy,Rainfed,flood,Yes,1,no,0.1,754.0,27.2,68.1,7.09,108.4,1.24,24,4,7.5,1,1,35.699999999999996,67720.0,2.45,Average
FRM009876,Gombe,Millet,wet season,Loamy,Mixed,None,Yes,1,Yes,0.65,787.6,27.0,80.4,6.21,123.9kg,4.38,13,7,11.5,1,1,4.05,48263.0,4.77,H
FRM009877,Yobe,Maize,Dry Season,Clay,Rain-fed,sprinkler,Yes,yes,No,0.52,1123.6,29.3,81.7,5.55,68.3,3.05,4,6,12.6,0,0,0.43,29479.0,0.92,Low
FRM009878,Taraba,Wheat,Wet Season,clay,rain-fed,Drip,No,No,Yes,0.34,484.2,29.5,68.8,5.67,26.5,4.33,5,5,4.8,1,0,2.38,46800.0,0.36,VL
FRM009879,Kebbi,Sorghum,Rainy,Silty,rain-fed,Sprinkler,Yes,No,Yes,2.42,394.5,22.0,60.7,6.53,124.3,3.46,4,3,1.0,1,1,3.4,64456.0,2.64,M
FRM009880,Niger,Cassava,wet season,Silt,Mixed,None,Yes,Yes,Yes,1.11,598.0,30.4,48.7,6.03,89.5,2.1,22,1,35.9,0,0,2.9,42325.0,3.2,Average
FRM009881,Zamfara,Soybean,wet season,Silt,Mixed,drip,Y,Yes,No,2.9,1154.3,30.1,70.6,6.63,84.4,5.51,15,6,25.8,1,0,4.64,70465.0,2.74,Moderate
FRM009882,Sokoto,Maize,Harmattan,Clay,Rain-fed,Drip,No,N,No,12.01 acres,1001.0,30.0,79.1,6.85,112.3,1.28,18,4,34.2,1,0,2.46,47955.0,0.9,Poor
FRM009883,Yobe,Groundnut,wet season,Sandy,Irrigation,sprinkler,No,Yes,Yes,3.81,1105.1,27.9,71.4,5.87,45.5,1.11,0,3,28.3,0,0,3.95 tons,65981.0,2.65,Moderate
FRM009884,Kebbi,Sorghum,DRY,Loamy,Mixed,Sprinkler,No,Yes,Yes,0.1,580.0,31.2,62.3,6.11,142.9,2.75,8,1,12.9,0,1,2.21,81226.0,3.03,Moderate
FRM009885,Gombe,Maize,Dry Season,Silt,Irrigation,flood,Yes,Yes,No,6.11,640.6,31.9,49.8,6.26,89.1,5.42,5,1,49.5,1,0,2.44,34206.0,2.52,MEDIUM
FRM009886,Zamfara,Soybean,dry season,Loamy,irrigation,Flood,Yes,No,No,3.92,1006.9,30.6,59.3,7.01,89.6,7.18,11,3,12.0,1,1,1.28,72669.0,2.1,Medium
FRM009887,Zamfara,Yam,DRY,Clay,rain-fed,Flood,No,Yes,No,5.4,614.8,285.0,60.9,5.32,129.7,5.91,18,6,2.9,1,0,3.64,48897.0,1.7,low
FRM009888,Yobe,Maize,Dry Season,loamy,Irrigation,None,No,Yes,No,2.24,1182.0,30.6,71.2,5.58,57.5,1.18,19,2,2.4,0,1,3.55,59461.0,3.83,MEDIUM
FRM009889,Kano,Sorghum,WET,C,Rain-fed,None,No,Yes,No,0.91,1112.0,23.9,80.5,5.76,84.7,2.74,14,2,5.1,0,1,3.4,47783.0,2.44,Low
FRM009890,Kaduna,Cassava,dry season,Sandy,Irrigation,Sprinkler,Yes,No,Yes,1.07,830.3,34.9,69.6,5.65,43.1,5.27,21,2,28.4,1,1,2.67,60014.0,6.16,H
FRM009891,Zamfara,Millet,Dry Season,Loamy,Rain-fed,None,No,No,Yes,10.4,853.6,36.8,69.7,4.7,36.7,2.23,4,6,26.1,1,1,2.91,50391.0,2.18,LOW
FRM009892,Bauchi,Cowpea,DRY,Sandy,Mixed,None,Yes,Yes,Yes,1.35,966.6,28.0,72.6,7.36,95.8,3.4,23,1,25.2,0,1,2.86,63351.0,3.62,AVERAGE
FRM009893,Katsina,Yam,Dry Season,Sandy,Rain-fed,Drip,no,0,Yes,3.01,834.1,32.7,79.5,5.93,67.5,3.57,4,4,30.0,0,0,1.99,49183.0,2.36,Poor
FRM009894,Jigawa,Sorghum,DRY,L,rain-fed,Sprinkler,yes,yes,Yes,3.36,700.9,28.1,86.0,5.58,119.8,3.8,4,1,5.0,1,0,4.4,33091.0,4.11,MEDIUM
FRM009895,Bauchi,Groundnut,dry season,loamy,rain-fed,Drip,Yes,No,Yes,1.81,1248.1,25.2,86.0,5.42,103.0,1.06,20,4,19.5,1,1,3.06,65110.0,6.03,high
FRM009896,Kaduna,Groundnut,Wet Season,Loamy,Rain-fed,Sprinkler,Yes,Yes,Yes,4.41,1018.3,29.1,40.2,5.33,64.7,1.02,5,3,16.0,1,0,4.41,58014.0,3.95,AVERAGE
FRM009897,Jigawa,Rice,WET,Loamy,Rain-fed,drip,No,no,No,2.03,646.2,34.3,48.6,4.89,16.7,2.92,11,1,12.2,1,1,1.37,55476.0,1.33,Below Average
FRM009898,Jigawa,Cowpea,Harmattan,loamy,Irrigation,None,Yes,Yes,Yes,4.25,884.0,33.0,36.7,7.91,184.6,3.56,7,3,11.8,1,0,0.51,64655.0,6.5,high
FRM009899,Sokoto,Maize,Dry Season,C,Rain-fed,Flood,no,No,No,1.23 ha,1048.3,30.7,79.8,5.87,128.5,3.88,11,2,,1,1,2.84,56165.0,1.92,LOW
FRM009900,Sokoto,Rice,Rainy,Loamy,Mixed,None,no,No,Yes,0.1,949.4,28.2,74.3,4.88,35.8,5.24,13,2,15.8,1,1,2.8,64420.0,2.92,Average
FRM009901,Sokoto,Groundnut,Dry Season,Sandy,MIXED,Drip,Yes,no,yes,0.46,694.1,30.0,37.3,7.7,58.8,5.34,2,1,12.6,0,0,4.4,51847.0,1.33,Low
FRM009902,Sokoto,Maize,Rainy,Clay,Irrigated,flood,1,Yes,Yes,0.25,581.6,22.5,46.0,5.39,0.0,5.25,9,2,7.5,1,0,3.09,71968.0,5.0,Medium
FRM009903,Katsina,Rice,Wet Season,Loamy,Irrigation,Flood,No,Yes,No,4.52,772.8,22.2,63.6,70.0,70.8,3.99,8,3,23.0,1,0,2.46,28190.0,2.79,MEDIUM
FRM009904,Bauchi,Maize,Wet Season,loamy,Rain-fed,none,Yes,Yes,Yes,4.8,752.1,20.6,79.4,8.18,36.5,1.15,14,5,9.7,1,1,3.1,41805.0,2.69,medium
FRM009905,Gombe,Cassava,Wet Season,Silt,Irrigation,Drip,Yes,no,N,1.78,1171.1,27.3,56.7,8.05,24.1,2.44,12,6,9.6,0,1,3.61,62259.0,3.06 tons,Medium
FRM009906,Kebbi,Cowpea,Harmattan,Loamy,irrigation,None,Yes,Yes,Yes,2.4,742.5,25.0,31.6,7.07,58.0,4.12,8,1,26.4,1,1,3.12,58604.0,8.01,H
FRM009907,Plateau,Yam,wet season,Loamy,Mixed,drip,No,0,No,2.62,468.4,29.4 degrees,65.1,5.97,87.4,6.57,0,5,10.6,0,1,3.07,47268.0,1.57,Low
FRM009908,Gombe,Yam,dry season,Silty,IRRIGATION,sprinkler,No,No,no,0.18,1148.9,27.4,46.9,7.37,41.7,3.66,10,1,17.0,1,1,1.06,73388.0,1.32,Below Average
FRM009909,Zamfara,Yam,Rainy,Sandy,Rain-fed,Sprinkler,Yes,Yes,Yes,2.67,780.8,21.7,68.7,6.4,109.3,1.11,0,7,24.2,0,1,1.66,70079.0,3.7,M
FRM009910,Sokoto,Groundnut,Wet Season,loamy,Irrigation,Drip,Yes,No,Yes,0.4,1134.2,19.0,56.9,59.900000000000006,28.1,1.57,8,7,15.4,1,1,4.14,65117.0,5.47,EXCELLENT
FRM009911,Adamawa,Cassava,Dry Season,Clay,Rain-fed,None,Yes,No,No,5.62,1112.7,28.2,46.8,7.0,26.7,1.75,15,2,1.0km,0,0,3.68,12679.0,2.43,MODERATE
FRM009912,Kaduna,Soybean,dry season,Sandy,irrigation,Drip,No,No,Yes,0.1,507.4,26.4,77.4,6.7 pH,46.1,4.7,8,1,20.4km,1,1,1.85,35589.0,2.88,Medium
FRM009913,Kaduna,Cowpea,Dry Season,Sandy,Irrigation,Sprinkler,yes,No,No,0.68,576.5mm,25.0,63.6,6.45,75.0,5.32,17,1,33.7,0,1,2.33,47019.0,3.55,M
FRM009914,Zamfara,Sorghum,Wet Season,loamy,irrigation,Nil,yes,yes,yes,6.51,742.1mm,32.7,55.1,6.22,133.2,3.3,6,4,35.0,1,0,3.36,52088.0,6.24,EXCELLENT
FRM009915,Kebbi,Wheat,WET,Clay,Mixed,None,Yes,yes,No,2.93,564.7,21.0,-58.7,4.91,76.5,4.19,20,3,27.6,1,0,2.89,57549.0,1.7,L
FRM009916,Taraba,Soybean,Dry Season,Sandy,Irrigation,sprinkler,No,No,Yes,0.53,983.0,24.2,93.0,6.28,86.6,2.01,11,1,2.3,1,0,2.43,41258.0,2.64,Moderate
FRM009917,Taraba,Sorghum,Wet Season,Silt,Mixed,None,no,Yes,No,1.31,803.3,27.9,48.3,6.95,69.7,5.88,12,4,7.6,0,1,3.94,83111.0,3.7,medium
FRM009918,Plateau,Yam,Wet Season,loamy,Irrigation,None,Yes,No,no,0.73,736.7,34.4,43.9,5.21,88.2,4.6,3,7,18.4,1,1,3.12,64543.0,2.87,Average
FRM009919,Bauchi,Sorghum,Wet Season,Clay,Irrigation,None,yes,Yes,Yes,0.41,1136.6,24.3,78.3,pH 7.55,149.2,4.8,23,4,20.4,0,0,4.21,43325.0,3.61,Moderate
FRM009920,Kebbi,Maize,wet season,Clay,Irrigation,N/A,Yes,Yes,yes,1.96,395.9,25.8,73.0,5.7,106.8,6.67,0,4,9.5,1,1,2.7,52313.0,3.0,Moderate
FRM009921,Zamfara,Maize,Wet Season,Loamy,Rain-fed,N/A,No,Yes,No,5.83,968.6,26.2,77.1,4.75,24.8,2.68,3,2,19.7,0,1,3.33,47493.0,1.93 tons,Low
FRM009922,Taraba,Sorghum,Dry Season,Clay,Rain-fed,none,Yes,0,Yes,2.55,1093.4,30.7,61.3,5.22,94.4,1.85,11,4,16.4 km,1,1,2.12,51110.0,3.01,MODERATE
FRM009923,Taraba,Millet,Rainy,Silt,Rain-fed,Sprinkler,Yes,Yes,N,1.64,1081.2,21.0,61.3,6.41,53.2,2.08,7,1,4.4,0,1,3.53,69631.0,3.32,Average
FRM009924,Taraba,Rice,Rainy,LOAMY,Mixed,Drip,Yes,yes,Yes,4.52,931.4,31.4,88.1,4.52,102.4,1.24,17,4,21.6,1,0,3.63,65590.0,4.78,EXCELLENT
FRM009925,Niger,Wheat,Rainy,Loamy,Irrigation,None,Yes,Yes,Yes,5.99,1036.2,21.8,69.5,6.45,125.6,6.47,10,3,,1,0,2.65,45132.0,6.32,EXCELLENT
FRM009926,Adamawa,Groundnut,WET,L,Mixed,Flood,No,Yes,No,1.88,553.9,26.1,54.3,6.94,45.1,0.42,1,1,1.0,1,0,0.22,62640.0,1.58,LOW
FRM009927,Gombe,Sorghum,wet season,Loamy,Mixed,sprinkler,yes,yes,Yes,15.17 ha,1321.9,24.1,70.9,7.18,41.8,7.37,15,2,26.4,1,1,3.17,63172.0,6.51,EXCELLENT
FRM009928,Katsina,Cowpea,dry season,Loamy,irrigation,None,Yes,Yes,no,0.33,867.4,31.9,58.6,7.43,113.4,0.0,19,3,29.3,1,1,2.83,44270.0,4.08,HIGH
